iter	Passed	Remaining
0	8	1592
1	15	1516
2	22	1451
3	28	1412
4	35	1381
5	42	1380
6	49	1365
7	56	1352
8	62	1328
9	69	1323
10	76	1317
11	83	1307
12	90	1299
13	97	1293
14	104	1286
15	111	1277
16	118	1273
17	125	1265
18	132	1258
19	139	1251
20	145	1243
21	152	1233
22	159	1225
23	165	1216
24	172	1209
25	180	1206
26	189	1213
27	197	1214
28	205	1211
29	212	1202
30	218	1193
31	225	1182
32	231	1173
33	238	1163
34	245	1158
35	253	1152
36	260	1146
37	266	1138
38	273	1127
39	280	1121
40	286	1110
41	293	1103
42	299	1094
43	306	1087
44	313	1080
45	320	1073
46	327	1065
47	333	1057
48	341	1051
49	348	1044
50	354	1036
51	361	1029
52	368	1022
53	374	1012
54	380	1003
55	386	994
56	393	986
57	399	979
58	407	974
59	415	970
60	423	965
61	429	956
62	436	949
63	443	941
64	449	933
65	455	925
66	462	917
67	469	910
68	475	903
69	482	895
70	489	888
71	493	878
72	499	869
73	506	862
74	513	855
75	519	848
76	526	840
77	533	834
78	540	827
79	546	820
80	553	813
81	560	806
82	567	799
83	573	792
84	580	785
85	587	778
86	593	771
87	600	764
88	606	756
89	612	749
90	619	742
91	626	735
92	633	729
93	640	722
94	648	717
95	655	710
96	662	703
97	668	696
98	675	689
99	682	682
100	689	676
101	696	669
102	703	662
103	710	656
104	718	649
105	725	642
106	732	636
107	739	629
108	745	622
109	752	615
110	759	608
111	766	602
112	773	595
113	780	588
114	787	582
115	794	575
116	801	568
117	808	561
118	814	554
119	821	547
120	828	541
121	835	534
122	842	527
123	849	520
124	856	513
125	862	506
126	869	499
127	876	492
128	882	485
129	889	479
130	896	472
131	903	465
132	909	458
133	916	451
134	922	444
135	929	437
136	936	430
137	943	423
138	950	417
139	957	410
140	964	403
141	971	397
142	978	390
143	985	383
144	992	376
145	999	369
146	1006	362
147	1013	356
148	1020	349
149	1028	342
150	1034	335
151	1041	328
152	1048	322
153	1055	315
154	1062	308
155	1070	301
156	1077	295
157	1084	288
158	1091	281
159	1097	274
160	1104	267
161	1111	260
162	1118	253
163	1125	246
164	1132	240
165	1139	233
166	1146	226
167	1153	219
168	1160	212
169	1166	205
170	1173	199
171	1180	192
172	1187	185
173	1193	178
174	1200	171
175	1206	164
176	1214	157
177	1220	150
178	1227	144
179	1234	137
180	1241	130
181	1247	123
182	1253	116
183	1260	109
184	1266	102
185	1273	95
186	1279	88
187	1285	82
188	1292	75
189	1298	68
190	1305	61
191	1311	54
192	1318	47
193	1324	40
194	1330	34
195	1337	27
196	1344	20
197	1351	13
198	1358	6
199	1366	0
